"","1 Basic(s) In Hand","2 Basic(s) In Hand","3 Basic(s) In Hand","4 Basic(s) In Hand","5 Basic(s) In Hand","6 Basic(s) In Hand","7 Basic(s) In Hand","Expected number of hands seen","Expected number of mulligans"
"40 Basic(s) In Deck",0.00401523427120546,0.0313188273154026,0.123970358123468,0.269817838268726,0.323781405922471,0.198813143987481,0.0482831921112456,1.00020076171356,0.000200761713560205
"41 Basic(s) In Deck",0.00288072817061657,0.0246919557481421,0.106998474908615,0.254121377907962,0.331852622915104,0.221235081943402,0.0582197584061584,1.00013048594501,0.000130485945010417
"42 Basic(s) In Deck",0.00201900124600473,0.0191028579429679,0.0909659902046089,0.236511574531983,0.337028993708075,0.244511230729389,0.069860351636968,1.00008240821412,8.24082141226423e-05
"43 Basic(s) In Deck",0.00137800430771094,0.0144690452309649,0.0760552377525075,0.217300679292878,0.338989059696892,0.268366338926707,0.083441634792337,1.00005035896141,5.03589614113675e-05
"44 Basic(s) In Deck",0.000912366970219328,0.0106995762871175,0.062414195008186,0.196844768871971,0.337448175209093,0.292455085181213,0.0992258324721979,1.00002962230423,2.96223042279831e-05
"45 Basic(s) In Deck",0.000583181556594886,0.00769799654705248,0.0501536138671601,0.17553764853506,0.332171242612499,0.316353564392855,0.117502752488775,1.00001666233019,1.66623301884883e-05
"46 Basic(s) In Deck",0.000357681906798314,0.00536522860197471,0.0393450097478145,0.153803219923275,0.322986761838877,0.339550185522923,0.138591912458336,1.000008886507,8.88650700114901e-06
"47 Basic(s) In Deck",0.000208831986634753,0.00360235176944948,0.0300195980787456,0.13208623154648,0.309802252172654,0.361435960868097,0.162844773577934,1.00000444323376,4.44323375825562e-06
"48 Basic(s) In Deck",0.000114840228532055,0.00231321031757424,0.0221682655434198,0.110841327717099,0.292621105173141,0.381294167346821,0.19064708367341,1.00000205071837,2.05071836667514e-06
"49 Basic(s) In Deck",5.86162965266853e-05,0.00140679111664045,0.0157426624957383,0.0905203093504954,0.271560928051487,0.39828936114218,0.222421331546931,1.00000085446496,8.54464963895296e-07
"50 Basic(s) In Deck",2.71875067968766e-05,0.000799312699828177,0.0106575026643757,0.0715575178893795,0.246873436718359,0.411455727863932,0.258629314657329,1.00000031071436,3.10714363349618e-07
"51 Basic(s) In Deck",1.10925003605063e-05,0.000415968763518984,0.00679415647081008,0.0543532517664808,0.218965957116393,0.419684751139753,0.299774822242682,1.00000009321429,9.32142887322129e-08
"52 Basic(s) In Deck",3.7699998492e-06,0.0001922699923092,0.004005624839775,0.0392551234297949,0.188424592463016,0.421712183131512,0.346406436143743,1.00000002071428,2.07142849539821e-08
"53 Basic(s) In Deck",9.60624944163675e-07,7.49287456447666e-05,0.00212298112660172,0.0265372640825216,0.156039112805226,0.416104300813938,0.399120451801122,1.00000000258929,2.58928567475891e-09
"54 Basic(s) In Deck",1.39821420082271e-07,2.22316057930811e-05,0.000963369584366847,0.0163772829342364,0.122829622006773,0.401243431888792,0.45856392215862,1,0
"55 Basic(s) In Deck",0,3.84508905226245e-06,0.000339649532949849,0.00883088785669606,0.0900750561383001,0.375312733909583,0.525437827473418,1,0
"56 Basic(s) In Deck",0,0,7.17749956422324e-05,0.00380407476903831,0.0593435663969976,0.336280209582987,0.600500374255333,1,0
"57 Basic(s) In Deck",0,0,0,0.00102279368790181,0.0325248392752778,0.28188194038574,0.684570426651081,1,0
"58 Basic(s) In Deck",0,0,0,0,0.011864406779661,0.20960451977401,0.778531073446327,1,0
"59 Basic(s) In Deck",0,0,0,0,0,0.116666666666667,0.883333333333335,1,0
